,Unnamed: 0,CAND_ID,CAND_NAME,CAND_OFFICE,CAND_ICI,STATE_FULL,PARTY_FULL,CAND_FIRST,CAND_LAST,SEARCH_QUERY,SEARCH_QUERY_W_STATE,SEARCH_URLS
2000,2000,H2CO07170,"AADLAND, ERIK",House,Open seat,Colorado,Republican Party,Erik,Aadland,Erik_Aadland,Erik_Aadland_(Colorado),https://ballotpedia.org/Erik_Aadland
2001,2001,H2CO07188,"MOPPER, JUIUS B",House,Open seat,Colorado,Democratic Party,Juius,Mopper,Juius_Mopper,Juius_Mopper_(Colorado),https://ballotpedia.org/Juius_Mopper
2002,2002,H2CO07196,"ANDERSEN, CARL E",House,Open seat,Colorado,Republican Party,Carl,Andersen,Carl_Andersen,Carl_Andersen_(Colorado),https://ballotpedia.org/Carl_Andersen
2003,2003,H2CO07204,"REICHERT, TIM",House,Open seat,Colorado,Republican Party,Tim,Reichert,Tim_Reichert,Tim_Reichert_(Colorado),https://ballotpedia.org/Tim_Reichert
2004,2004,H2CO07212,"DEMPSEY, BRAD",House,Open seat,Colorado,Republican Party,Brad,Dempsey,Brad_Dempsey,Brad_Dempsey_(Colorado),https://ballotpedia.org/Brad_Dempsey
2005,2005,H2CO08012,"GRAY, GIULIANNA",House,Open seat,Colorado,Republican Party,Giulianna,Gray,Giulianna_Gray,Giulianna_Gray_(Colorado),https://ballotpedia.org/Giulianna_Gray
2006,2006,H2CO08020,"CARAVEO, YADIRA",House,Open seat,Colorado,Democratic Party,Yadira,Caraveo,Yadira_Caraveo,Yadira_Caraveo_(Colorado),https://ballotpedia.org/Yadira_Caraveo
2007,2007,H2CO08038,"TEDESCO, CHAZ",House,Open seat,Colorado,Democratic Party,Chaz,Tedesco,Chaz_Tedesco,Chaz_Tedesco_(Colorado),https://ballotpedia.org/Chaz_Tedesco
2008,2008,H2CO08046,"GONZALEZ, RYAN ALEXANDER 9706732194",House,Open seat,Colorado,Republican Party,Ryan,Gonzalez,Ryan_Gonzalez,Ryan_Gonzalez_(Colorado),https://ballotpedia.org/Ryan_Gonzalez
2009,2009,H2CO08053,"PAYETTE, MATTHEW WILLIAM",House,Open seat,Colorado,Unaffiliated,Matthew,Payette,Matthew_Payette,Matthew_Payette_(Colorado),https://ballotpedia.org/Matthew_Payette
2010,2010,H2CO08061,"SAINE, LORI A",House,Open seat,Colorado,Republican Party,Lori,Saine,Lori_Saine,Lori_Saine_(Colorado),https://ballotpedia.org/Lori_Saine
2011,2011,H2CO08079,"KIRKMEYER, BARBARA",House,Open seat,Colorado,Republican Party,Barbara,Kirkmeyer,Barbara_Kirkmeyer,Barbara_Kirkmeyer_(Colorado),https://ballotpedia.org/Barbara_Kirkmeyer
2012,2012,H2CO08087,"HUMPHREY, JOHNNY",House,Open seat,Colorado,Democratic Party,Johnny,Humphrey,Johnny_Humphrey,Johnny_Humphrey_(Colorado),https://ballotpedia.org/Johnny_Humphrey
2013,2013,H2CO08095,"KULMANN, JANIFER SUZANNE",House,Open seat,Colorado,Republican Party,Janifer,Kulmann,Janifer_Kulmann,Janifer_Kulmann_(Colorado),https://ballotpedia.org/Janifer_Kulmann
2014,2014,H2CO08103,"ALLCORN, TYLER",House,Open seat,Colorado,Republican Party,Tyler,Allcorn,Tyler_Allcorn,Tyler_Allcorn_(Colorado),https://ballotpedia.org/Tyler_Allcorn
2015,2015,H2CO08111,"ZORN, STEVE",House,Open seat,Colorado,Independent,Steve,Zorn,Steve_Zorn,Steve_Zorn_(Colorado),https://ballotpedia.org/Steve_Zorn
2016,2016,H2CO08129,"RODRIGUEZ, JOSHUA",House,Open seat,Colorado,Libertarian Party,Joshua,Rodriguez,Joshua_Rodriguez,Joshua_Rodriguez_(Colorado),https://ballotpedia.org/Joshua_Rodriguez
2017,2017,H2CO08137,"DOUGLAS, STEVE DOUGLAS",House,Open seat,Colorado,Democratic Party,Steve,Douglas,Steve_Douglas,Steve_Douglas_(Colorado),https://ballotpedia.org/Steve_Douglas
2018,2018,H2CO08145,"LONG, TIMOTHY LOUIS",House,Open seat,Colorado,Unaffiliated,Timothy,Long,Timothy_Long,Timothy_Long_(Colorado),https://ballotpedia.org/Timothy_Long
2019,2019,H2CO18011,"FORDHAM, ABIGAIL MRS",House,Challenger,Colorado,Independent Conservative Democratic,Abigail,Fordham,Abigail_Fordham,Abigail_Fordham_(Colorado),https://ballotpedia.org/Abigail_Fordham
2020,2020,H2CT01197,"LEGNANI, ANDREW JOSEPH",House,Challenger,Connecticut,Democratic Party,Andrew,Legnani,Andrew_Legnani,Andrew_Legnani_(Connecticut),https://ballotpedia.org/Andrew_Legnani
2021,2021,H2CT01205,"HREZI, MUAD",House,Challenger,Connecticut,Democratic Party,Muad,Hrezi,Muad_Hrezi,Muad_Hrezi_(Connecticut),https://ballotpedia.org/Muad_Hrezi
2022,2022,H2CT01213,"LAZOR, LAWRENCE ZIDOVSKY DR",House,Challenger,Connecticut,Republican Party,Lawrence,Lazor,Lawrence_Lazor,Lawrence_Lazor_(Connecticut),https://ballotpedia.org/Lawrence_Lazor
2023,2023,H2CT02112,"COURTNEY, JOSEPH",House,Incumbent,Connecticut,Democratic Party,Joseph,Courtney,Joseph_Courtney,Joseph_Courtney_(Connecticut),https://ballotpedia.org/Joseph_Courtney
2024,2024,H2CT02161,"FRANCE, MIKE",House,Challenger,Connecticut,Republican Party,Mike,France,Mike_France,Mike_France_(Connecticut),https://ballotpedia.org/Mike_France
2025,2025,H2CT02179,"DILIZIA, ANTHONY ADELINO MR.",House,Challenger,Connecticut,Democratic Party,Anthony,Dilizia,Anthony_Dilizia,Anthony_Dilizia_(Connecticut),https://ballotpedia.org/Anthony_Dilizia
2026,2026,H2CT02187,"MCMAHON, SHANE BRANDON MR",House,Challenger,Connecticut,Republican Party,Shane,Mcmahon,Shane_Mcmahon,Shane_Mcmahon_(Connecticut),https://ballotpedia.org/Shane_Mcmahon
2027,2027,H2CT03102,"CHAI, AMY FOGELSTROM DR",House,Challenger,Connecticut,Libertarian Party,Amy,Chai,Amy_Chai,Amy_Chai_(Connecticut),https://ballotpedia.org/Amy_Chai
2028,2028,H2CT03110,"DENARDIS, LESLEY",House,Challenger,Connecticut,Republican Party,Lesley,Denardis,Lesley_Denardis,Lesley_Denardis_(Connecticut),https://ballotpedia.org/Lesley_Denardis
2029,2029,H2CT04126,"BOOK, ETHAN",House,Challenger,Connecticut,Republican Party,Ethan,Book,Ethan_Book,Ethan_Book_(Connecticut),https://ballotpedia.org/Ethan_Book
2030,2030,H2CT04134,"STEVENSON, JAYME MRS.",House,Challenger,Connecticut,Republican Party,Jayme,Stevenson,Jayme_Stevenson,Jayme_Stevenson_(Connecticut),https://ballotpedia.org/Jayme_Stevenson
2031,2031,H2CT05123,"ROBERTI, DANIEL FRANCIS",House,Open seat,Connecticut,Democratic Party,Daniel,Roberti,Daniel_Roberti,Daniel_Roberti_(Connecticut),https://ballotpedia.org/Daniel_Roberti
2032,2032,H2CT05131,"ESTY, ELIZABETH",House,Incumbent,Connecticut,Democratic Party,Elizabeth,Esty,Elizabeth_Esty,Elizabeth_Esty_(Connecticut),https://ballotpedia.org/Elizabeth_Esty
