,Unnamed: 0,CAND_ID,CAND_NAME,CAND_OFFICE,CAND_ICI,STATE_FULL,PARTY_FULL,CAND_FIRST,CAND_LAST,SEARCH_QUERY,SEARCH_QUERY_W_STATE,SEARCH_URLS
2500,2500,H2IN01214,"BAKER, JIM",House,Challenger,Indiana,Republican Party,Jim,Baker,Jim_Baker,Jim_Baker_(Indiana),https://ballotpedia.org/Jim_Baker
2501,2501,H2IN01222,"STORER, AARON",House,Challenger,Indiana,Republican Party,Aaron,Storer,Aaron_Storer,Aaron_Storer_(Indiana),https://ballotpedia.org/Aaron_Storer
2502,2502,H2IN01230,"FANTIN, RICHARD E",House,,Indiana,Democratic Party,Richard,Fantin,Richard_Fantin,Richard_Fantin_(Indiana),https://ballotpedia.org/Richard_Fantin
2503,2503,H2IN02261,"KURANT, STEPHEN",House,Challenger,Indiana,Democratic Party,Stephen,Kurant,Stephen_Kurant,Stephen_Kurant_(Indiana),https://ballotpedia.org/Stephen_Kurant
2504,2504,H2IN02279,"STEURY, PAUL MR.",House,Challenger,Indiana,Democratic Party,Paul,Steury,Paul_Steury,Paul_Steury_(Indiana),https://ballotpedia.org/Paul_Steury
2505,2505,H2IN03186,"STEPHENS, JOHN MATTHEW MR.",House,Challenger,Indiana,Democratic Party,John,Stephens,John_Stephens,John_Stephens_(Indiana),https://ballotpedia.org/John_Stephens
2506,2506,H2IN03194,"BOWER, FORREST ANTHONY",House,Challenger,Indiana,Democratic Party,Forrest,Bower,Forrest_Bower,Forrest_Bower_(Indiana),https://ballotpedia.org/Forrest_Bower
2507,2507,H2IN03202,"SNYDER, GARY",House,Challenger,Indiana,Democratic Party,Gary,Snyder,Gary_Snyder,Gary_Snyder_(Indiana),https://ballotpedia.org/Gary_Snyder
2508,2508,H2IN03210,"RIESEN, CORY",House,Challenger,Indiana,Democratic Party,Cory,Riesen,Cory_Riesen,Cory_Riesen_(Indiana),https://ballotpedia.org/Cory_Riesen
2509,2509,H2IN03228,"GOTSCH, NATHAN",House,Challenger,Indiana,Independent,Nathan,Gotsch,Nathan_Gotsch,Nathan_Gotsch_(Indiana),https://ballotpedia.org/Nathan_Gotsch
2510,2510,H2IN03236,"CALKINS, AARON (A.J.)",House,,Indiana,Democratic Party,Aaron,Calkins,Aaron_Calkins,Aaron_Calkins_(Indiana),https://ballotpedia.org/Aaron_Calkins
