name,ideal_point
"Alan Franken (D)
",-0.008430527
"Amy Klobuchar (D)
",0.2272495
"Angus King (I)
",-0.08629728
"Barbara Boxer (D)
",0.21400453
"Barbara Mikulski (D)
",0.1302608
"Benjamin Cardin (D)
",-0.122528374
"Benjamin Sasse (R)
",-0.036652766
"Bernard Sanders (I)
",0.68879056
"Bill Cassidy (R)
",-0.07008758
"Bill Nelson (D)
",0.12184201
"Bob Corker (R)
",-0.3979436
"Brian Schatz (D)
",0.0383222
"Charles Grassley (R)
",0.061095625
"Charles Schumer (D)
",0.04250205
"Chris Coons (D)
",-0.06336919
"Christopher Murphy (D)
",0.27947
"Claire Mccaskill (D)
",0.0436546
"Cory Booker (D)
",-0.20072807
"Cory Gardner (R)
",-0.24115956
"Dan Sullivan (R)
",-0.51793367
"Daniel Coats (R)
",-0.45908922
"David Perdue (R)
",-0.31273943
"David Vitter (R)
",-0.2116932
"Dean Heller (R)
",-0.8045661
"Deb Fischer (R)
",-0.22393973
"Debbie Stabenow (D)
",0.17533635
"Dianne Feinstein (D)
",-0.041191302
"Edward Markey (D)
",0.56046754
"Elizabeth Warren (D)
",0.43669555
"Gary Peters (D)
",0.11542955
"Harry Reid (D)
",0.1619965
"Heidi Heitkamp (D)
",-0.13424712
"James Inhofe (R)
",-0.26332283
"James Lankford (R)
",-0.002383382
"Jeanne Shaheen (D)
",-0.13297595
"Jeff Flake (R)
",-0.14977638
"Jeff Merkley (D)
",0.39545673
"Jefferson Sessions (R)
",0.33358437
"Jerry Moran (R)
",-0.28009704
"Joe Donnelly (D)
",-0.25145537
"Joe Manchin (D)
",0.31113026
"John Barrasso (R)
",-0.16287173
"John Boozman (R)
",-0.26620832
"John Cornyn (R)
",-0.26989034
"John Hoeven (R)
",-0.41745037
"John Isakson (R)
",-0.04780115
"John Mccain (R)
",-0.07750519
"John Reed (D)
",0.24920888
"John Thune (R)
",-0.28368863
"Jon Tester (D)
",-0.031186732
"Joni Ernst (R)
",-0.26338947
"Kelly Ayotte (R)
",-0.31024626
"Kirsten Gillibrand (D)
",0.2070513
"Lamar Alexander (R)
",0.07834369
"Lindsey Graham (R)
",0.23001237
"Lisa Murkowski (R)
",-0.37476242
"Marco Rubio (R)
",0.19653833
"Maria Cantwell (D)
",-0.059915096
"Mark Kirk (R)
",-0.032945152
"Mark Warner (D)
",-0.16409683
"Martin Heinrich (D)
",-0.10266902
"Mazie Hirono (D)
",0.0892172
"Michael Bennet (D)
",0.08275874
"Michael Crapo (R)
",-0.18287499
"Michael Enzi (R)
",-0.022593549
"Mike Lee (R)
",-0.038545936
"Mike Rounds (R)
",-0.18063456
"Mitch Mcconnell (R)
",-0.2925791
"Orrin Hatch (R)
",-0.22797866
"Pat Roberts (R)
",-0.30932084
"Patrick Leahy (D)
",-0.17630419
"Patrick Toomey (R)
",0.13753664
"Patty Murray (D)
",0.15903305
"Rand Paul (R)
",0.5591501
"Richard Blumenthal (D)
",0.15084228
"Richard Burr (R)
",-0.003264056
"Richard Durbin (D)
",0.4816069
"Richard Shelby (R)
",-0.09973304
"Robert Casey (D)
",0.031139849
"Robert Menendez (D)
",0.2695343
"Robert Portman (R)
",-0.36956567
"Roger Wicker (R)
",-0.21867542
"Ron Johnson (R)
",-0.11420488
"Ron Wyden (D)
",-0.2786141
"Roy Blunt (R)
",-0.16658343
"Sheldon Whitehouse (D)
",0.11797198
"Shelley Capito (R)
",-0.25598904
"Sherrod Brown (D)
",0.33464947
"Steve Daines (R)
",-0.29312614
"Susan Collins (R)
",-0.23613405
"Tammy Baldwin (D)
",0.037085686
"Ted Cruz (R)
",0.39613736
"Thad Cochran (R)
",-0.2595267
"Thom Tillis (R)
",-0.12962656
"Thomas Carper (D)
",0.36513022
"Tim Scott (R)
",-0.03305905
"Timothy Kaine (D)
",0.079163626
"Tom Cotton (R)
",-0.0836527
"Tom Udall (D)
",0.18856476
